Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,GoalDifference,ShotsEffiency_Home,ShotsEffiency_Away,HomeTeamPoints,AwayTeamPoints,HomeTeamGoalDifference,AwayTeamGoalDifference
2021-22,2021-09-11T12:30:00Z,Crystal Palace,Tottenham,3,0,1,0,0,D,J Moss,18,2,4,1,8,2,13,15,2,1,0,1,3,0.2222222222222222,0.5,5,6,0,0.0
2021-22,2021-09-11T15:00:00Z,Arsenal,Norwich,1,0,1,0,0,D,M Oliver,30,10,7,1,8,4,9,11,1,2,0,0,1,0.23333333333333334,0.1,3,0,-8,-10.0
2021-22,2021-09-11T15:00:00Z,Brentford,Brighton,0,1,-1,0,0,D,G Scott,7,4,1,2,1,6,9,12,3,2,0,0,-1,0.14285714285714285,0.5,5,3,1,2.0
2021-22,2021-09-11T15:00:00Z,Leicester,Man City,0,1,-1,0,0,D,P Tierney,6,25,1,8,5,8,4,11,1,2,0,0,-1,0.16666666666666666,0.32,3,6,-2,10.0
2021-22,2021-09-11T15:00:00Z,Man United,Newcastle,4,1,1,1,0,H,A Taylor,21,12,7,3,7,3,9,2,1,0,0,0,3,0.3333333333333333,0.25,7,1,8,-7.0
2021-22,2021-09-11T15:00:00Z,Southampton,West Ham,0,0,0,0,0,D,D Coote,11,13,3,3,5,4,10,12,3,1,0,1,0,0.2727272727272727,0.23076923076923078,3,5,-2,5.0
2021-22,2021-09-11T15:00:00Z,Watford,Wolves,0,2,-1,0,0,D,P Bankes,6,14,2,5,6,8,15,13,3,3,0,0,-2,0.3333333333333333,0.35714285714285715,3,0,-4,-1.0
2021-22,2021-09-11T17:30:00Z,Chelsea,Aston Villa,3,0,1,1,0,H,S Attwell,12,18,4,6,4,11,11,11,1,4,0,0,3,0.3333333333333333,0.3333333333333333,7,4,8,-2.0
2021-22,2021-09-12T16:30:00Z,Leeds,Liverpool,0,3,-1,0,1,A,C Pawson,9,30,4,9,2,11,9,8,2,1,1,0,-3,0.4444444444444444,0.3,2,4,-7,8.0
2021-22,2021-09-13T20:00:00Z,Everton,Burnley,3,1,1,0,0,D,M Atkinson,14,11,6,6,4,6,3,6,1,1,0,0,2,0.42857142857142855,0.5454545454545454,7,1,6,-5.0
2021-22,2021-09-17T20:00:00Z,Newcastle,Leeds,1,1,0,1,1,D,M Dean,17,22,7,9,4,5,9,11,2,2,0,0,0,0.4117647058823529,0.4090909090909091,2,3,-7,-7.0
2021-22,2021-09-18T12:30:00Z,Wolves,Brentford,0,2,-1,0,2,A,D England,11,9,0,3,4,2,10,7,4,2,0,1,-2,0.0,0.3333333333333333,0,5,-3,3.0
2021-22,2021-09-18T15:00:00Z,Burnley,Arsenal,0,1,-1,0,1,A,A Taylor,18,13,3,3,8,3,9,8,2,1,0,0,-1,0.16666666666666666,0.23076923076923078,1,3,-6,-7.0
